City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,khani,0,GE,1538969400,45,41.96,42.96,66.2,31.09
1,busselton,92,AU,1538971029,100,-33.64,115.35,61.18,8.61
2,chokurdakh,64,RU,1538971060,96,70.62,147.9,26.98,8.84
3,punta arenas,75,CL,1538967600,69,-53.16,-70.91,39.2,11.41
4,nikolskoye,0,RU,1538967600,92,59.7,30.79,30.2,4.47
5,ushuaia,0,AR,1538967600,80,-54.81,-68.31,35.6,9.73
6,jamestown,92,AU,1538971031,70,-33.21,138.6,60.46,7.72
7,ilulissat,8,GL,1538967000,63,69.22,-51.1,28.4,17.22
8,mount isa,0,AU,1538969400,10,-20.73,139.49,98.6,8.05
9,vaini,0,IN,1538971033,66,15.34,74.49,79.36,3.47
10,college,20,US,1538967480,20,64.86,-147.8,37.76,6.93
11,hardenberg,12,NL,1538969100,93,52.58,6.62,42.8,6.49
12,kavaratti,92,IN,1538971328,100,10.57,72.64,76.66,0.78
13,tuktoyaktuk,5,CA,1538967600,79,69.44,-133.03,24.8,13.87
14,albany,90,US,1538969220,96,42.65,-73.75,60.08,3.36
15,chadiza,0,ZM,1538971328,75,-14.06,32.43,59.47,12.41
16,lumeje,8,AO,1538971329,57,-11.56,20.78,66.13,2.68
17,dakar,0,SN,1538967600,94,14.69,-17.45,77.0,6.93
18,provideniya,90,RU,1538967600,87,64.42,-173.23,46.4,2.24
19,port alfred,8,ZA,1538971042,91,-33.59,26.89,68.02,16.78
20,basco,90,US,1538970060,100,40.33,-91.2,68.0,10.18
21,tripoli,20,GR,1538968800,93,37.51,22.37,60.8,4.7
22,aqtobe,0,KZ,1538967600,86,50.28,57.21,41.0,6.71
23,balagansk,0,RU,1538971330,76,54.01,103.05,38.86,3.58
24,dikson,88,RU,1538971058,97,73.51,80.55,38.95,36.57
25,puerto leguizamo,12,CO,1538971330,91,-0.19,-74.78,77.2,2.13
26,kisangani,8,CD,1538971330,100,0.52,25.21,69.82,2.35
27,clyde river,90,CA,1538970240,100,70.47,-68.59,23.0,4.7
28,castro,92,CL,1538971028,99,-42.48,-73.76,48.94,8.39
29,new norfolk,40,AU,1538969400,59,-42.78,147.06,60.8,11.41
30,yellowknife,5,CA,1538967600,79,62.45,-114.38,23.0,5.82
31,toba,20,JP,1538967600,60,34.47,136.83,75.2,3.36
32,rikitea,92,PF,1538971039,100,-23.12,-134.97,69.37,3.69
33,okhotsk,8,RU,1538971043,90,59.36,143.24,41.47,3.91
34,chapais,90,CA,1538967600,69,49.78,-74.86,33.8,3.36
35,lincoln,36,GB,1538968800,87,53.23,-0.54,50.0,17.22
36,hasaki,75,JP,1538967600,64,35.73,140.83,73.4,12.75
37,saint anthony,1,US,1538967360,10,43.97,-111.68,44.96,9.17
38,codrington,56,AU,1538971066,87,-28.95,153.24,69.01,2.8
39,hungund,0,IN,1538971332,59,16.07,76.05,80.62,5.14
40,faanui,100,PF,1538971120,100,-16.48,-151.75,77.02,10.74
41,pingliang,76,CN,1538971332,78,35.54,106.68,54.07,3.91
42,puerto ayora,0,EC,1538971031,100,-0.74,-90.35,70.18,9.4
43,east london,0,ZA,1538967600,88,-33.02,27.91,62.6,10.29
44,upernavik,88,GL,1538971064,100,72.79,-56.15,33.46,15.21
45,levelland,75,US,1538968200,90,33.59,-102.38,66.92,16.11
46,mataura,48,NZ,1538971028,65,-46.19,168.86,52.45,19.8
47,tuatapere,32,NZ,1538971058,94,-46.13,167.69,49.57,16.78
48,hambantota,80,LK,1538971333,100,6.12,81.12,79.63,9.28
49,airai,0,TL,1538971035,33,-8.93,125.41,86.56,2.91
50,iqaluit,90,CA,1538967600,79,63.75,-68.52,28.4,2.24
51,constitucion,90,MX,1538967000,67,23.99,-104.67,62.6,8.05
52,lebu,8,ET,1538971035,76,8.96,38.73,41.2,2.57
53,lengshuitan,20,CN,1538971333,62,26.41,111.6,77.29,3.69
54,dong hoi,80,VN,1538971334,99,17.48,106.6,81.34,6.26
55,hilo,75,US,1538969460,97,19.71,-155.08,73.94,6.93
56,forestville,20,CA,1538967600,86,48.74,-69.09,33.8,4.7
57,verona,20,IT,1538968800,100,45.44,10.99,59.0,3.36
58,narsaq,0,GL,1538967000,53,60.91,-46.05,26.6,10.29
59,lagoa,0,PT,1538969400,36,37.14,-8.45,60.8,2.24
60,bredasdorp,64,ZA,1538967600,88,-34.53,20.04,66.2,9.17
61,arraial do cabo,92,BR,1538971057,100,-22.97,-42.02,70.54,20.69
62,roding,90,DE,1538967360,98,49.19,12.52,48.38,4.25
